,ESTADO,PRODUTO,MES_ANO,VL_VENDA
0,AC,DIESEL,01/2022,6.588235294117647
1,AC,DIESEL,01/2023,6.5
2,AC,DIESEL,01/2024,6.9
3,AC,DIESEL,01/2025,7.0
4,AC,DIESEL,02/2022,6.9
5,AC,DIESEL,02/2024,7.0
6,AC,DIESEL,02/2025,7.388888888888889
7,AC,DIESEL,03/2022,6.37037037037037
8,AC,DIESEL,03/2023,6.375
9,AC,DIESEL,03/2024,6.655172413793103
10,AC,DIESEL,03/2025,7.35
11,AC,DIESEL,04/2022,6.8604651162790695
12,AC,DIESEL,04/2023,6.214285714285714
13,AC,DIESEL,04/2024,7.0
14,AC,DIESEL,05/2022,7.232142857142857
15,AC,DIESEL,05/2023,5.821428571428571
16,AC,DIESEL,05/2024,7.0
17,AC,DIESEL,05/2025,7.388888888888889
18,AC,DIESEL,06/2022,6.90566037735849
19,AC,DIESEL,06/2023,6.421052631578948
20,AC,DIESEL,06/2024,6.928571428571429
21,AC,DIESEL,06/2025,7.285714285714286
22,AC,DIESEL,07/2022,6.857142857142857
23,AC,DIESEL,07/2023,6.05
24,AC,DIESEL,07/2024,7.0
25,AC,DIESEL,07/2025,7.0
26,AC,DIESEL,08/2022,6.883116883116883
27,AC,DIESEL,08/2023,6.378378378378378
28,AC,DIESEL,08/2024,7.021739130434782
29,AC,DIESEL,08/2025,7.466666666666667
30,AC,DIESEL,09/2022,7.0
31,AC,DIESEL,09/2023,5.1
32,AC,DIESEL,09/2024,7.125
33,AC,DIESEL,09/2025,8.0
34,AC,DIESEL,10/2022,6.5
35,AC,DIESEL,10/2023,6.304347826086956
36,AC,DIESEL,10/2024,6.744186046511628
37,AC,DIESEL,10/2025,7.0
38,AC,DIESEL,11/2022,6.684210526315789
39,AC,DIESEL,11/2023,6.222222222222222
40,AC,DIESEL,11/2024,6.972972972972973
41,AC,DIESEL,11/2025,8.0
42,AC,DIESEL,12/2022,7.6
43,AC,DIESEL,12/2023,6.048780487804878
44,AC,DIESEL,12/2024,7.0
45,AC,DIESEL,12/2025,7.4
46,AC,DIESEL,<NA>/<NA>,6.795525494276795
47,AC,DIESEL S10,01/2022,6.569444444444445
48,AC,DIESEL S10,01/2023,6.481481481481482
49,AC,DIESEL S10,01/2024,6.909090909090909
50,AC,DIESEL S10,01/2025,7.0
51,AC,DIESEL S10,02/2022,6.978260869565218
52,AC,DIESEL S10,02/2024,7.0
53,AC,DIESEL S10,02/2025,7.5
54,AC,DIESEL S10,03/2022,6.3
55,AC,DIESEL S10,03/2023,6.363636363636363
56,AC,DIESEL S10,03/2024,6.6875
57,AC,DIESEL S10,03/2025,7.35
58,AC,DIESEL S10,04/2022,6.755102040816326
59,AC,DIESEL S10,04/2023,6.285714285714286
60,AC,DIESEL S10,04/2024,7.0
61,AC,DIESEL S10,05/2022,7.246153846153846
62,AC,DIESEL S10,05/2023,5.84375
63,AC,DIESEL S10,05/2024,7.0
64,AC,DIESEL S10,05/2025,7.466666666666667
65,AC,DIESEL S10,06/2022,6.884615384615385
